customer_id,age,age_group,region,segment,channel,campaign_group,offer_type,prior_purchases,contacted,opened,clicked,converted,revenue
25,59,51-60,West,Active,Email,A,Loyalty-Points,1,1,0,0,0,0.0
26,52,51-60,South,New,Email,A,Bundle,1,1,0,0,0,0.0
27,40,31-40,West,High-Value,Web,A,Discount,5,1,1,0,0,0.0
28,61,61-69,East,New,SMS,B,Loyalty-Points,3,1,1,0,0,0.0
29,47,41-50,South,Active,SMS,B,Bundle,2,1,1,1,0,0.0
30,42,41-50,North,Dormant,Web,A,Bundle,2,1,0,0,0,0.0
31,43,41-50,North,New,Email,B,Bundle,2,1,0,0,0,0.0
32,32,31-40,South,Active,Push,A,Loyalty-Points,0,1,0,0,0,0.0
33,25,21-30,Central,Active,Email,A,Loyalty-Points,1,1,0,0,0,0.0
34,48,41-50,East,Dormant,Email,B,Cashback,3,1,1,1,0,0.0
35,64,61-69,East,Active,Email,A,Discount,6,1,0,0,0,0.0
36,24,21-30,South,New,Push,B,Bundle,1,1,0,0,0,0.0
37,63,61-69,South,Active,SMS,B,Cashback,5,1,0,0,0,0.0
38,61,61-69,West,Active,Email,A,Loyalty-Points,2,1,0,0,0,0.0
39,34,31-40,North,Active,Email,A,Discount,3,1,0,0,0,0.0
40,51,51-60,West,High-Value,Push,B,Bundle,3,1,0,0,0,0.0
41,29,21-30,Central,New,Email,B,Cashback,1,1,1,0,0,0.0
42,58,51-60,Central,Active,SMS,B,Loyalty-Points,1,1,1,0,0,0.0
43,55,51-60,South,Active,Email,B,Loyalty-Points,3,1,1,0,0,0.0
44,38,31-40,Central,New,SMS,A,Loyalty-Points,7,1,1,0,0,0.0
45,24,21-30,South,Active,SMS,A,Bundle,1,1,0,0,0,0.0
46,68,61-69,South,New,Web,A,Loyalty-Points,3,1,1,0,0,0.0
47,42,41-50,South,Dormant,Email,A,Loyalty-Points,2,1,0,0,0,0.0
48,64,61-69,North,New,Push,B,Bundle,4,1,1,1,0,0.0
49,54,51-60,South,Active,Email,B,Cashback,3,1,0,0,0,0.0
50,59,51-60,Central,Active,Email,B,Loyalty-Points,4,1,0,0,0,0.0
51,58,51-60,West,Active,Email,B,Cashback,3,1,0,0,0,0.0
52,30,21-30,South,Active,Web,A,Loyalty-Points,2,1,0,0,0,0.0
53,38,31-40,South,Active,Push,A,Loyalty-Points,2,1,1,0,0,0.0
54,43,41-50,South,Dormant,Email,A,Discount,2,1,1,0,0,0.0
55,45,41-50,North,Active,SMS,B,Cashback,2,1,1,0,0,0.0
56,23,21-30,North,Active,Email,B,Bundle,3,1,1,0,0,0.0
57,47,41-50,Central,Active,Push,A,Loyalty-Points,2,1,1,0,0,0.0
58,28,21-30,West,Active,Web,B,Cashback,3,1,0,0,0,0.0
59,57,51-60,West,Dormant,Web,B,Loyalty-Points,2,1,0,0,0,0.0
60,54,51-60,South,New,SMS,A,Discount,1,1,1,1,0,0.0
61,66,61-69,Central,Active,Email,B,Cashback,1,1,0,0,0,0.0
62,57,51-60,North,High-Value,Email,B,Cashback,3,1,0,0,0,0.0
63,38,31-40,Central,Active,Email,A,Loyalty-Points,3,1,1,1,1,1934.0
64,68,61-69,East,Active,Email,B,Bundle,0,1,0,0,0,0.0
65,41,41-50,South,Dormant,Email,A,Discount,3,1,1,1,0,0.0
66,36,31-40,West,Active,SMS,B,Discount,3,1,0,0,0,0.0
67,65,61-69,East,Active,Email,B,Loyalty-Points,6,1,1,0,0,0.0
68,39,31-40,South,New,Push,A,Discount,4,1,1,0,0,0.0
69,24,21-30,West,New,Push,B,Discount,3,1,1,0,0,0.0
70,44,41-50,West,New,SMS,B,Bundle,1,1,1,0,0,0.0
71,59,51-60,West,Dormant,Web,A,Discount,1,1,0,0,0,0.0
72,30,21-30,East,Active,Push,A,Discount,4,1,0,0,0,0.0
73,43,41-50,South,High-Value,Email,B,Loyalty-Points,4,1,0,0,0,0.0
74,27,21-30,East,New,Push,A,Cashback,2,1,0,0,0,0.0
75,54,51-60,Central,New,Push,B,Bundle,1,1,1,0,0,0.0
76,44,41-50,South,Active,Email,B,Cashback,1,1,0,0,0,0.0
77,37,31-40,Central,New,SMS,B,Cashback,1,1,1,1,0,0.0
78,32,31-40,North,Active,Email,B,Discount,2,1,1,0,0,0.0
79,48,41-50,North,New,Email,B,Loyalty-Points,0,1,0,0,0,0.0
80,53,51-60,South,New,Web,A,Discount,4,1,1,0,0,0.0
81,67,61-69,North,Active,Web,A,Bundle,2,1,0,0,0,0.0
82,42,41-50,Central,Active,SMS,B,Discount,4,1,1,0,0,0.0
83,28,21-30,South,New,Email,A,Bundle,3,1,0,0,0,0.0
84,61,61-69,North,New,Email,B,Cashback,3,1,1,0,0,0.0
85,51,51-60,West,New,SMS,A,Loyalty-Points,1,1,1,0,0,0.0
86,55,51-60,Central,New,Email,A,Loyalty-Points,5,1,0,0,0,0.0
87,25,21-30,Central,High-Value,SMS,A,Loyalty-Points,4,1,1,0,0,0.0
88,36,31-40,North,Active,Email,A,Cashback,2,1,0,0,0,0.0
89,58,51-60,West,New,Web,B,Cashback,4,1,1,0,0,0.0
90,61,61-69,South,Active,Email,B,Loyalty-Points,1,1,1,1,0,0.0
91,42,41-50,Central,New,Email,A,Loyalty-Points,2,1,0,0,0,0.0
92,60,51-60,West,New,Email,A,Discount,1,1,1,0,0,0.0
93,62,61-69,West,High-Value,Email,A,Cashback,4,1,1,0,0,0.0
94,39,31-40,Central,New,Email,B,Discount,6,1,1,0,0,0.0
95,65,61-69,Central,Dormant,SMS,B,Discount,3,1,1,1,0,0.0
96,35,31-40,North,Dormant,Web,A,Cashback,0,1,0,0,0,0.0
97,32,31-40,West,Dormant,Push,B,Cashback,2,1,0,0,0,0.0
98,54,51-60,North,Active,Push,B,Discount,2,1,0,0,0,0.0
99,52,51-60,Central,New,Web,B,Discount,4,1,1,0,0,0.0
100,27,21-30,West,Dormant,Email,B,Loyalty-Points,4,1,0,0,0,0.0
101,61,61-69,North,Dormant,Push,A,Discount,2,1,0,0,0,0.0
102,30,21-30,South,Active,Email,B,Loyalty-Points,0,1,0,0,0,0.0
103,60,51-60,Central,New,SMS,A,Cashback,4,1,1,0,0,0.0
104,21,21-30,West,New,Push,A,Cashback,1,1,0,0,0,0.0
105,60,51-60,South,New,SMS,B,Bundle,3,1,1,1,0,0.0
106,59,51-60,Central,New,Email,B,Cashback,2,1,1,0,0,0.0
107,59,51-60,West,Active,Email,B,Loyalty-Points,2,1,0,0,0,0.0
108,53,51-60,North,Dormant,Web,A,Discount,3,1,0,0,0,0.0
109,44,41-50,South,Active,Web,B,Cashback,1,1,1,0,0,0.0
110,55,51-60,Central,Active,Push,A,Cashback,1,1,0,0,0,0.0
111,34,31-40,South,Dormant,Email,B,Loyalty-Points,0,1,1,1,0,0.0
112,59,51-60,North,Active,Email,B,Discount,3,1,0,0,0,0.0
113,48,41-50,West,Active,Email,B,Discount,1,1,0,0,0,0.0
114,43,41-50,Central,Dormant,SMS,A,Cashback,2,1,1,0,0,0.0
115,45,41-50,East,Active,Email,A,Discount,1,1,1,0,0,0.0
116,48,41-50,Central,High-Value,Email,B,Cashback,3,1,0,0,0,0.0
117,22,21-30,North,New,SMS,B,Bundle,1,1,0,0,0,0.0
118,27,21-30,West,Active,Email,B,Loyalty-Points,0,1,0,0,0,0.0
119,33,31-40,West,Active,Email,A,Bundle,2,1,1,0,0,0.0
120,26,21-30,Central,Active,Email,B,Cashback,3,1,1,0,0,0.0
121,42,41-50,East,Active,Push,A,Cashback,3,1,0,0,0,0.0
122,53,51-60,Central,New,Email,A,Loyalty-Points,0,1,0,0,0,0.0
123,53,51-60,North,Dormant,SMS,B,Bundle,4,1,1,1,0,0.0
124,44,41-50,North,Active,Email,B,Loyalty-Points,1,1,0,0,0,0.0
125,62,61-69,West,Active,Email,B,Cashback,2,1,0,0,0,0.0
126,48,41-50,North,Dormant,Push,A,Loyalty-Points,3,1,0,0,0,0.0
127,24,21-30,Central,Active,Email,B,Discount,4,1,1,1,1,2168.0
128,58,51-60,North,Dormant,SMS,B,Cashback,3,1,0,0,0,0.0
129,49,41-50,West,New,Email,B,Bundle,2,1,0,0,0,0.0
130,52,51-60,East,New,SMS,A,Discount,3,1,1,0,0,0.0
131,48,41-50,West,New,Email,B,Discount,1,1,1,1,0,0.0
132,48,41-50,West,Dormant,Email,A,Discount,0,1,0,0,0,0.0
133,25,21-30,East,Dormant,SMS,A,Loyalty-Points,3,1,0,0,0,0.0
134,48,41-50,East,Dormant,Web,A,Cashback,4,1,0,0,0,0.0
135,59,51-60,East,Active,Email,B,Loyalty-Points,1,1,0,0,0,0.0
136,35,31-40,West,New,SMS,B,Loyalty-Points,1,1,1,1,0,0.0
137,50,41-50,West,Active,Email,B,Bundle,2,1,0,0,0,0.0
138,22,21-30,East,Active,SMS,B,Discount,2,1,0,0,0,0.0
139,38,31-40,South,New,Web,A,Loyalty-Points,4,1,0,0,0,0.0
140,42,41-50,North,Active,Email,B,Bundle,0,1,0,0,0,0.0
141,69,61-69,West,Dormant,Web,B,Loyalty-Points,6,1,0,0,0,0.0
142,31,31-40,South,Active,Web,A,Cashback,3,1,0,0,0,0.0
143,34,31-40,East,Active,Web,A,Cashback,1,1,1,0,0,0.0
144,41,41-50,Central,Active,Email,A,Bundle,3,1,1,1,1,3297.0
145,69,61-69,West,New,Push,B,Cashback,3,1,1,0,0,0.0
146,62,61-69,South,New,Email,B,Loyalty-Points,1,1,1,0,0,0.0
147,22,21-30,East,Active,Email,A,Cashback,1,1,1,0,0,0.0
148,32,31-40,South,Dormant,SMS,B,Bundle,0,1,0,0,0,0.0
149,61,61-69,West,Active,SMS,A,Cashback,2,1,1,0,0,0.0
150,23,21-30,North,New,SMS,B,Discount,3,1,1,0,0,0.0
151,62,61-69,Central,New,Email,B,Bundle,1,1,0,0,0,0.0
152,34,31-40,Central,Dormant,Email,A,Discount,5,1,0,0,0,0.0
153,65,61-69,South,Active,Email,A,Bundle,1,1,1,1,0,0.0
154,35,31-40,South,Active,Push,A,Bundle,1,1,0,0,0,0.0
155,42,41-50,East,New,Web,A,Bundle,2,1,0,0,0,0.0
156,53,51-60,West,Dormant,Email,B,Cashback,2,1,1,0,0,0.0
157,27,21-30,West,Active,Email,B,Loyalty-Points,1,1,0,0,0,0.0
158,48,41-50,North,New,Email,B,Bundle,3,1,1,0,0,0.0
159,45,41-50,West,Active,SMS,A,Bundle,2,1,1,1,0,0.0
160,59,51-60,North,Dormant,Email,B,Discount,3,1,0,0,0,0.0
161,69,61-69,South,High-Value,Push,B,Loyalty-Points,1,1,1,0,0,0.0
162,53,51-60,West,High-Value,Push,A,Discount,3,1,0,0,0,0.0
163,41,41-50,Central,Active,SMS,B,Discount,1,1,1,0,0,0.0
164,40,31-40,West,Active,SMS,B,Loyalty-Points,1,1,1,0,0,0.0
165,41,41-50,North,Active,SMS,B,Cashback,3,1,0,0,0,0.0
166,60,51-60,West,Active,Email,A,Discount,3,1,1,0,0,0.0
167,36,31-40,North,New,SMS,B,Discount,4,1,0,0,0,0.0
168,29,21-30,South,Active,SMS,A,Cashback,2,1,0,0,0,0.0
169,37,31-40,North,High-Value,Email,A,Bundle,2,1,0,0,0,0.0
170,22,21-30,Central,New,Email,A,Cashback,2,1,0,0,0,0.0
171,26,21-30,South,Active,SMS,A,Bundle,1,1,1,0,0,0.0
172,25,21-30,East,New,Web,A,Cashback,1,1,0,0,0,0.0
173,58,51-60,West,Active,Email,A,Discount,1,1,0,0,0,0.0
174,56,51-60,Central,Active,Email,A,Loyalty-Points,0,1,0,0,0,0.0
175,55,51-60,Central,Active,Email,A,Discount,2,1,1,1,1,2919.0
176,43,41-50,North,Active,Email,A,Discount,5,1,0,0,0,0.0
177,56,51-60,South,Dormant,SMS,B,Discount,2,1,0,0,0,0.0
178,28,21-30,East,New,Email,A,Cashback,2,1,1,1,0,0.0
179,65,61-69,West,Dormant,Email,A,Bundle,1,1,0,0,0,0.0
180,45,41-50,South,Dormant,Web,A,Discount,1,1,0,0,0,0.0
181,66,61-69,South,Active,Email,A,Discount,3,1,1,0,0,0.0
182,28,21-30,West,Active,Email,A,Bundle,3,1,1,1,0,0.0
183,45,41-50,East,High-Value,Email,B,Loyalty-Points,3,1,0,0,0,0.0
184,55,51-60,West,Active,Push,A,Discount,4,1,0,0,0,0.0
185,45,41-50,South,New,Web,B,Bundle,1,1,0,0,0,0.0
186,42,41-50,East,New,Push,B,Cashback,1,1,0,0,0,0.0
187,29,21-30,North,Dormant,SMS,A,Cashback,3,1,0,0,0,0.0
188,39,31-40,North,New,SMS,A,Loyalty-Points,1,1,0,0,0,0.0
189,32,31-40,North,Active,Email,A,Cashback,1,1,0,0,0,0.0
190,35,31-40,North,Active,Web,B,Discount,2,1,0,0,0,0.0
191,54,51-60,South,Active,Web,A,Cashback,1,1,0,0,0,0.0
192,51,51-60,North,Active,Push,A,Bundle,1,1,0,0,0,0.0
193,50,41-50,North,Active,Web,B,Bundle,2,1,1,0,0,0.0
194,38,31-40,Central,Active,SMS,B,Discount,5,1,1,0,0,0.0
195,68,61-69,Central,New,SMS,B,Discount,0,1,0,0,0,0.0
196,25,21-30,South,New,Push,A,Discount,1,1,1,1,0,0.0
197,37,31-40,Central,New,Email,B,Loyalty-Points,3,1,1,0,0,0.0
198,26,21-30,North,Active,SMS,A,Discount,2,1,0,0,0,0.0
199,37,31-40,North,New,Email,B,Loyalty-Points,1,1,0,0,0,0.0
200,68,61-69,South,Active,Web,B,Loyalty-Points,2,1,0,0,0,0.0
201,38,31-40,South,New,Email,B,Bundle,1,1,0,0,0,0.0
202,65,61-69,North,Active,SMS,A,Cashback,1,1,1,0,0,0.0
203,45,41-50,Central,New,Email,A,Loyalty-Points,2,1,1,0,0,0.0
204,55,51-60,Central,Active,SMS,A,Bundle,2,1,0,0,0,0.0
205,43,41-50,South,Dormant,Push,A,Bundle,2,1,1,0,0,0.0
206,34,31-40,South,Active,Push,A,Cashback,0,1,0,0,0,0.0
207,58,51-60,West,Dormant,Web,B,Cashback,2,1,0,0,0,0.0
208,68,61-69,Central,Active,SMS,A,Discount,0,1,0,0,0,0.0
209,33,31-40,South,New,SMS,B,Loyalty-Points,3,1,1,0,0,0.0
210,59,51-60,West,Active,Email,A,Discount,5,1,1,0,0,0.0
211,33,31-40,North,Active,Web,B,Loyalty-Points,3,1,0,0,0,0.0
212,56,51-60,East,Dormant,SMS,B,Bundle,1,1,0,0,0,0.0
213,59,51-60,Central,New,Email,B,Discount,3,1,1,0,0,0.0
214,43,41-50,East,High-Value,Web,A,Cashback,2,1,0,0,0,0.0
215,57,51-60,West,Active,SMS,B,Loyalty-Points,5,1,1,1,0,0.0
216,34,31-40,West,Active,SMS,B,Cashback,2,1,1,0,0,0.0
217,24,21-30,West,High-Value,Email,A,Cashback,2,1,0,0,0,0.0
218,25,21-30,West,New,Email,A,Loyalty-Points,4,1,1,1,1,1325.0
219,42,41-50,Central,Dormant,SMS,A,Cashback,2,1,1,0,0,0.0
220,65,61-69,North,New,Email,B,Discount,2,1,0,0,0,0.0
221,27,21-30,Central,Active,SMS,B,Bundle,1,1,0,0,0,0.0
222,43,41-50,Central,New,SMS,B,Cashback,3,1,1,0,0,0.0
223,55,51-60,Central,Dormant,Email,B,Cashback,2,1,0,0,0,0.0
224,30,21-30,South,Active,Email,B,Loyalty-Points,1,1,0,0,0,0.0
225,56,51-60,East,Active,Push,B,Cashback,0,1,1,1,0,0.0
226,35,31-40,South,High-Value,SMS,B,Cashback,3,1,0,0,0,0.0
227,60,51-60,Central,New,Email,B,Loyalty-Points,1,1,0,0,0,0.0
228,49,41-50,East,High-Value,SMS,B,Discount,3,1,1,0,0,0.0
229,47,41-50,South,Active,SMS,A,Discount,1,1,1,0,0,0.0
230,29,21-30,West,Dormant,Email,A,Loyalty-Points,0,1,0,0,0,0.0
231,43,41-50,North,Active,Email,A,Cashback,3,1,0,0,0,0.0
232,62,61-69,South,Dormant,Email,A,Cashback,3,1,1,0,0,0.0
233,21,21-30,South,Dormant,Email,A,Bundle,1,1,0,0,0,0.0
234,58,51-60,South,Active,Email,B,Discount,0,1,1,1,0,0.0
235,45,41-50,East,Dormant,Web,B,Discount,3,1,1,0,0,0.0
236,56,51-60,North,High-Value,SMS,A,Loyalty-Points,7,1,1,0,0,0.0
237,53,51-60,Central,Dormant,Email,B,Discount,2,1,1,0,0,0.0
238,42,41-50,East,High-Value,Email,A,Cashback,2,1,0,0,0,0.0
239,36,31-40,South,Dormant,Email,B,Bundle,1,1,0,0,0,0.0
240,51,51-60,North,Active,Email,A,Loyalty-Points,1,1,0,0,0,0.0
241,27,21-30,Central,Dormant,Web,A,Discount,5,1,1,0,0,0.0
242,49,41-50,Central,Active,SMS,B,Cashback,3,1,1,0,0,0.0
243,25,21-30,East,New,Web,B,Bundle,1,1,0,0,0,0.0
244,52,51-60,South,New,Email,A,Bundle,0,1,0,0,0,0.0
245,51,51-60,East,New,Email,B,Discount,1,1,0,0,0,0.0
246,25,21-30,Central,Dormant,Web,B,Cashback,2,1,0,0,0,0.0
247,58,51-60,South,Dormant,SMS,B,Discount,4,1,1,0,0,0.0
248,41,41-50,West,Dormant,SMS,B,Cashback,0,1,0,0,0,0.0
249,59,51-60,Central,New,Email,A,Cashback,2,1,0,0,0,0.0
250,23,21-30,West,New,Email,A,Cashback,5,1,1,0,0,0.0
251,29,21-30,Central,New,Email,A,Loyalty-Points,1,1,1,0,0,0.0
252,45,41-50,Central,Active,Email,A,Bundle,1,1,0,0,0,0.0
253,30,21-30,North,Dormant,SMS,A,Bundle,1,1,1,0,0,0.0
254,37,31-40,South,Dormant,Push,A,Cashback,0,1,1,0,0,0.0
255,53,51-60,North,New,Web,B,Cashback,2,1,0,0,0,0.0
256,28,21-30,East,Dormant,Email,A,Discount,0,1,0,0,0,0.0
257,54,51-60,East,Active,Email,B,Cashback,3,1,0,0,0,0.0
258,26,21-30,North,High-Value,Web,A,Discount,1,1,0,0,0,0.0
259,29,21-30,East,Dormant,Email,A,Bundle,4,1,0,0,0,0.0
260,49,41-50,North,Active,Email,A,Discount,3,1,0,0,0,0.0
261,59,51-60,East,Dormant,Email,A,Bundle,0,1,0,0,0,0.0
262,29,21-30,South,Active,Email,A,Bundle,0,1,1,1,0,0.0
263,35,31-40,Central,Dormant,Email,B,Loyalty-Points,4,1,0,0,0,0.0
264,66,61-69,West,Dormant,Email,B,Cashback,2,1,0,0,0,0.0
265,69,61-69,West,Dormant,Push,A,Discount,1,1,1,0,0,0.0
266,49,41-50,Central,New,SMS,B,Discount,2,1,1,0,0,0.0
267,42,41-50,North,Dormant,Email,B,Bundle,3,1,0,0,0,0.0
268,37,31-40,South,New,Email,A,Cashback,2,1,1,0,0,0.0
269,51,51-60,West,Dormant,SMS,A,Cashback,2,1,0,0,0,0.0
270,49,41-50,West,High-Value,SMS,A,Bundle,0,1,1,0,0,0.0
271,35,31-40,North,New,SMS,A,Discount,0,1,0,0,0,0.0
272,22,21-30,South,Active,Email,A,Bundle,1,1,1,0,0,0.0
273,28,21-30,South,Active,SMS,B,Cashback,2,1,0,0,0,0.0
274,67,61-69,North,Dormant,SMS,B,Discount,4,1,1,0,0,0.0
275,41,41-50,West,New,Email,A,Bundle,2,1,0,0,0,0.0
276,44,41-50,North,High-Value,Web,B,Cashback,2,1,1,1,1,3143.0
277,43,41-50,Central,High-Value,Web,B,Bundle,0,1,1,0,0,0.0
278,59,51-60,East,Active,Email,B,Loyalty-Points,1,1,0,0,0,0.0
279,24,21-30,West,Active,SMS,B,Loyalty-Points,4,1,0,0,0,0.0
280,25,21-30,East,Active,Email,B,Loyalty-Points,1,1,0,0,0,0.0
281,34,31-40,Central,New,Push,B,Discount,3,1,1,0,0,0.0
282,44,41-50,South,Dormant,Email,A,Discount,0,1,0,0,0,0.0
283,53,51-60,East,New,Email,A,Discount,2,1,1,1,0,0.0
284,45,41-50,North,Active,Push,B,Cashback,4,1,0,0,0,0.0
285,42,41-50,Central,New,Email,B,Bundle,2,1,1,0,0,0.0
286,66,61-69,East,Dormant,Web,A,Bundle,2,1,1,1,0,0.0
287,28,21-30,North,Active,Push,A,Bundle,1,1,0,0,0,0.0
288,49,41-50,Central,Active,Push,A,Discount,3,1,1,0,0,0.0
289,47,41-50,Central,New,Email,A,Cashback,2,1,0,0,0,0.0
290,44,41-50,North,Active,Email,B,Discount,4,1,0,0,0,0.0
291,60,51-60,Central,Active,Push,B,Bundle,4,1,0,0,0,0.0
292,34,31-40,West,Active,Email,B,Cashback,5,1,0,0,0,0.0
293,67,61-69,South,New,Push,A,Cashback,0,1,0,0,0,0.0
294,37,31-40,West,Active,SMS,B,Bundle,1,1,0,0,0,0.0
295,47,41-50,West,Active,Web,A,Bundle,1,1,1,0,0,0.0
296,46,41-50,East,High-Value,Push,A,Bundle,3,1,1,0,0,0.0
297,62,61-69,West,Active,SMS,A,Loyalty-Points,5,1,1,0,0,0.0
298,42,41-50,North,New,SMS,B,Cashback,2,1,1,1,0,0.0
299,34,31-40,Central,New,Push,A,Loyalty-Points,5,1,0,0,0,0.0
300,22,21-30,Central,New,SMS,A,Loyalty-Points,4,1,0,0,0,0.0
301,38,31-40,South,New,SMS,A,Loyalty-Points,3,1,1,1,0,0.0
302,61,61-69,East,Dormant,Web,B,Discount,2,1,0,0,0,0.0
303,21,21-30,South,Dormant,Push,B,Discount,5,1,0,0,0,0.0
304,64,61-69,South,New,Web,A,Loyalty-Points,2,1,0,0,0,0.0
305,47,41-50,South,Dormant,SMS,B,Bundle,2,1,0,0,0,0.0
306,27,21-30,Central,New,Email,A,Bundle,3,1,0,0,0,0.0
307,35,31-40,West,Dormant,Web,A,Loyalty-Points,1,1,1,0,0,0.0
308,48,41-50,Central,New,Email,A,Bundle,5,1,1,0,0,0.0
309,36,31-40,West,Active,Email,A,Discount,3,1,0,0,0,0.0
310,26,21-30,West,Dormant,Email,A,Bundle,3,1,1,0,0,0.0
311,53,51-60,North,New,Push,B,Bundle,5,1,0,0,0,0.0
312,53,51-60,Central,New,SMS,A,Loyalty-Points,1,1,1,0,0,0.0
313,26,21-30,West,Dormant,SMS,A,Cashback,0,1,1,0,0,0.0
314,34,31-40,North,Active,Push,B,Cashback,2,1,0,0,0,0.0
315,32,31-40,North,Dormant,Push,A,Cashback,4,1,1,0,0,0.0
316,53,51-60,West,Active,Email,B,Bundle,1,1,1,0,0,0.0
317,56,51-60,South,New,Push,B,Discount,3,1,0,0,0,0.0
318,56,51-60,South,Active,SMS,B,Loyalty-Points,4,1,0,0,0,0.0
319,66,61-69,South,Dormant,Web,A,Cashback,0,1,0,0,0,0.0
320,58,51-60,Central,New,Email,B,Discount,0,1,1,0,0,0.0
321,36,31-40,South,New,Email,B,Bundle,0,1,0,0,0,0.0
322,26,21-30,South,Active,Email,A,Discount,3,1,0,0,0,0.0
323,51,51-60,South,Dormant,Email,B,Cashback,0,1,0,0,0,0.0
324,65,61-69,North,Active,SMS,A,Discount,1,1,0,0,0,0.0
325,68,61-69,North,Dormant,Push,B,Loyalty-Points,1,1,0,0,0,0.0
326,32,31-40,East,New,SMS,A,Bundle,4,1,0,0,0,0.0
327,32,31-40,North,Active,Push,A,Cashback,5,1,1,0,0,0.0
328,22,21-30,West,Dormant,SMS,B,Discount,2,1,0,0,0,0.0
329,27,21-30,East,New,SMS,A,Bundle,1,1,0,0,0,0.0
330,48,41-50,East,Active,Email,A,Cashback,1,1,1,0,0,0.0
331,47,41-50,South,Active,Web,B,Loyalty-Points,3,1,0,0,0,0.0
332,39,31-40,West,Active,SMS,A,Bundle,3,1,1,0,0,0.0
333,36,31-40,East,Dormant,Web,B,Discount,0,1,0,0,0,0.0
334,61,61-69,North,High-Value,Email,B,Bundle,3,1,0,0,0,0.0
335,43,41-50,East,Active,SMS,A,Loyalty-Points,2,1,1,1,0,0.0
336,60,51-60,North,Dormant,Push,B,Loyalty-Points,1,1,0,0,0,0.0
337,68,61-69,East,High-Value,Push,B,Loyalty-Points,1,1,0,0,0,0.0
338,36,31-40,East,Dormant,Email,B,Bundle,3,1,1,0,0,0.0
339,30,21-30,East,Dormant,Web,A,Cashback,3,1,0,0,0,0.0
340,67,61-69,South,New,Email,A,Cashback,0,1,1,1,1,1341.0
341,52,51-60,East,Dormant,Email,B,Cashback,0,1,1,0,0,0.0
342,35,31-40,West,New,Email,A,Loyalty-Points,0,1,0,0,0,0.0
343,51,51-60,Central,New,SMS,A,Cashback,3,1,1,0,0,0.0
344,46,41-50,Central,Active,SMS,A,Loyalty-Points,0,1,1,0,0,0.0
345,65,61-69,North,New,Web,B,Discount,3,1,0,0,0,0.0
346,33,31-40,West,New,Email,B,Cashback,7,1,0,0,0,0.0
347,69,61-69,North,Active,Push,B,Loyalty-Points,2,1,0,0,0,0.0
348,66,61-69,East,New,SMS,B,Cashback,0,1,1,1,0,0.0
349,29,21-30,West,Dormant,Email,B,Cashback,1,1,0,0,0,0.0
350,29,21-30,East,High-Value,SMS,B,Cashback,4,1,1,1,1,5443.0
351,47,41-50,Central,Dormant,Email,A,Cashback,2,1,0,0,0,0.0
352,23,21-30,Central,New,Push,B,Discount,3,1,1,1,0,0.0
353,35,31-40,Central,Active,SMS,A,Loyalty-Points,3,1,1,0,0,0.0
354,42,41-50,West,New,Push,A,Loyalty-Points,2,1,1,0,0,0.0
355,68,61-69,West,Active,Email,B,Bundle,1,1,1,0,0,0.0
356,69,61-69,Central,New,Email,A,Cashback,4,1,0,0,0,0.0
357,28,21-30,South,Active,SMS,A,Discount,1,1,0,0,0,0.0
358,64,61-69,South,New,SMS,A,Loyalty-Points,4,1,1,0,0,0.0
359,25,21-30,South,High-Value,Email,A,Bundle,2,1,1,0,0,0.0
360,57,51-60,West,New,SMS,B,Discount,3,1,1,1,0,0.0
